"PANA 3E, IL",-89.0242,39.3722,213.4,1090,671,1579,977,2014,1586,1240,1354,457,1506,647,661
"PARIS WTR WKS, IL",-87.6933,39.6356,207.3,1029,662,1273,1267,971,1856,585,989,547,1155,688,583
"URBANA, IL",-88.2403,40.0839,219.8,979,484,1293,1243,1548,715,858,557,854,1271,485,461
"WALNUT, IL",-89.5989,41.5519,210.3,799,899,714,1388,2657,1254,202,1209,2869,864,414,415
"WHITE HALL 1 E, IL",-90.3789,39.4411,176.8,952,698,1448,1304,1993,1442,594,1545,688,1364,493,481
"WINDSOR, IL",-88.5986,39.4381,210.3,956,489,1153,957,1679,1876,716,1390,262,1821,560,495
"ANDERSON SEWAGE PLT, IN",-85.7175,40.1122,257.6,358,1008,1109,1519,1178,1409,948,685,295,907,617,688
"ANGOLA, IN",-84.9897,41.6397,307.8,774,394,1000,1187,1195,1782,1410,1193,1497,928,591,795
"BERNE WWTP, IN",-84.9305,40.6683,265.2,1023,960,951,1529,1959,841,1264,816,313,813,407,778
"BLOOMINGTON IN UNIV, IN",-86.5214,39.1742,253,1424,1941,937,1681,991,2107,1262,,0,230,995,918
"BROOKVILLE, IN",-85.0128,39.4239,192,1277,1708,985,1263,1292,1955,539,319,56,1059,612,974
"COLUMBUS, IN",-85.9211,39.1978,189.3,1335,1693,1012,1525,1405,3390,466,991,168,1393,816,1047
"CRAWFORDSVILLE 6 SE, IN",-86.8011,40.0028,256,1004,817,1159,1231,1783,861,530,1253,397,959,598,757
"GOSHEN 3SW, IN",-85.8825,41.5575,266.7,593,609,692,1462,1347,1474,550,659,1411,977,408,648
"GREENFIELD, IN",-85.7611,39.7858,263.7,1091,1353,1187,1632,1934,2680,1408,841,158,917,642,1002
"HUNTINGTON, IN",-85.4981,40.8556,221,789,644,1009,1262,1604,663,1184,1023,980,861,521,749
"LAPORTE, IN",-86.7297,41.6117,257.6,520,592,1001,1400,1889,1315,443,668,2335,1290,514,572
"MADISON SEWAGE PLT, IN",-85.3942,38.7369,140.2,924,1952,,1553,1431,2070,968,613,39,960,1201,1055
"MARION 2 N, IN",-85.6586,40.58,240.8,864,764,1038,1548,2337,826,1300,491,699,981,585,710
"MT VERNON, IN",-87.8956,37.9286,108.8,1051,1565,1427,1459,1303,1358,1035,1300,30,1352,1017,1002
"OOLITIC PURDUE EX FRM, IN",-86.5519,38.8894,198.1,1113,1523,1469,1393,1715,2436,477,762,84,1375,1015,1090
"PRINCETON 1 W, IN",-87.5906,38.3567,146.3,1209,1625,1497,1753,2345,2140,1608,1504,143,1105,651,546
"RENSSELAER, IN",-87.1564,40.9356,198.1,902,511,748,1199,2084,772,1246,343,1755,1064,272,554
"ROCHESTER, IN",-86.2094,41.0658,234.7,891,408,732,1233,1510,897,349,944,1699,804,207,502
"ROCKVILLE, IN",-87.2269,39.7594,211.2,835,953,1266,1389,1458,1524,416,1255,564,1062,546,1509
"RUSHVILLE, IN",-85.4528,39.6042,292.6,859,1515,669,1186,1110,1694,753,433,148,1274,637,1312
